City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Thunder Bay,CA,2021-11-20 15:59:39,48.4001,-89.3168,37.31,67,75,8.05
259,Raduzhnyy,RU,2021-11-20 16:02:06,62.0961,77.475,10.92,94,100,11.99
260,Codrington,AU,2021-11-20 16:02:06,-38.2667,141.9667,48.63,81,1,8.52
261,Kaabong,UG,2021-11-20 16:02:06,3.4836,34.1492,77.29,36,81,10.85
262,Vengerovo,RU,2021-11-20 16:02:07,55.6848,76.7471,18.77,90,100,13.27
263,Carnarvon,AU,2021-11-20 16:02:07,-24.8667,113.6333,71.67,83,75,13.8
264,Methoni,GR,2021-11-20 16:02:08,36.8197,21.7049,61.21,68,10,5.46
265,Tondon,GN,2021-11-20 16:02:08,10.3667,-13.35,90.16,36,5,4.0
266,Dali,CN,2021-11-20 16:02:09,25.7,100.1833,49.06,82,0,4.9
267,Bosaso,SO,2021-11-20 16:02:09,11.2842,49.1816,78.31,70,9,4.45
268,Suluq,LY,2021-11-20 16:02:10,31.6682,20.2521,65.97,56,100,16.04
269,Severnoye,RU,2021-11-20 16:02:10,56.3491,78.3619,18.0,93,100,12.64
270,Acari,PE,2021-11-20 16:02:10,-15.4311,-74.6158,79.05,50,82,9.93
271,Shanghai,CN,2021-11-20 16:01:04,31.2222,121.4581,62.92,69,0,8.95
272,Kajiado,KE,2021-11-20 16:02:11,-1.8524,36.7768,66.92,71,91,11.65
273,Saint George,US,2021-11-20 16:02:12,37.1041,-113.5841,56.35,49,1,0.0
274,Denpasar,ID,2021-11-20 16:01:16,-8.65,115.2167,78.46,88,20,1.14
275,Komsomolskiy,UZ,2021-11-20 16:02:12,40.4272,71.7189,35.02,59,0,4.61
276,Ponta Delgada,PT,2021-11-20 16:02:13,37.7333,-25.6667,68.72,64,20,17.27
277,Bougouni,ML,2021-11-20 16:02:13,11.417,-7.479,98.74,11,33,9.66
278,Aswan,EG,2021-11-20 16:02:14,24.0934,32.907,72.86,31,2,8.1
279,Pa Sang,TH,2021-11-20 16:02:14,18.5262,98.9394,73.6,86,12,0.85
280,Lasa,IT,2021-11-20 16:02:15,46.6166,10.7002,45.36,63,8,1.19
281,Taltal,CL,2021-11-20 16:02:15,-25.4,-70.4833,66.18,65,55,6.53
282,Chapais,CA,2021-11-20 16:02:15,49.7834,-74.8492,27.27,72,100,9.73
283,Turukhansk,RU,2021-11-20 16:02:16,65.8167,87.9833,-12.17,85,14,13.51
284,Ankazoabo,MG,2021-11-20 16:02:16,-22.2833,44.5167,81.95,46,83,10.71
285,Manzanillo,CU,2021-11-20 16:02:17,20.3433,-77.1167,83.88,61,84,4.83
286,Nakamura,JP,2021-11-20 16:02:18,32.9833,132.9333,52.92,87,0,2.91
287,Kabo,CF,2021-11-20 16:02:18,7.6994,18.629,89.98,29,75,4.23
288,Sinnamary,GF,2021-11-20 16:02:19,5.3833,-52.95,85.33,69,46,8.66
289,Heilbron,ZA,2021-11-20 16:02:19,-27.2812,27.9709,74.05,35,79,11.61
290,Makakilo City,US,2021-11-20 16:02:20,21.3469,-158.0858,74.68,85,40,0.0
291,Cuitareo,MX,2021-11-20 16:02:20,19.6167,-100.6,57.61,59,1,2.19
292,Guerrero Negro,MX,2021-11-20 16:02:21,27.9769,-114.0611,64.83,79,100,7.7
293,Port Angeles,US,2021-11-20 15:58:50,48.1181,-123.4307,44.37,94,75,3.44
294,Columbus,US,2021-11-20 16:02:21,39.9612,-82.9988,39.61,68,75,4.0
