City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Green River,US,41.5286,-109.4662,42.19,57,42,18.23,scattered clouds
224,Kavieng,PG,-2.5744,150.7967,81.99,77,90,5.64,moderate rain
225,Iranshahr,IR,27.2025,60.6848,57.54,17,0,6.91,clear sky
226,Anse-Bertrand,GP,16.4721,-61.5078,76.95,100,51,11.95,broken clouds
227,Dhidhdhoo,MV,6.8833,73.1,81.1,69,31,14.92,scattered clouds
228,Prachuap Khiri Khan,TH,12.2167,99.75,78.69,93,73,2.04,broken clouds
229,Dumas,US,35.8656,-101.9732,72.75,15,1,3.44,clear sky
230,Luderitz,NA,-26.6481,15.1594,59.13,91,1,15.86,clear sky
231,Mao,ES,39.8885,4.2658,61.36,88,75,5.75,broken clouds
232,Rehoboth,NA,-23.3167,17.0833,67.01,22,9,8.66,clear sky
233,Port Moresby,PG,-9.4431,147.1797,76.42,100,75,3.44,haze
234,Houma,US,29.5958,-90.7195,75.99,70,0,4.0,clear sky
235,Pevek,RU,69.7008,170.3133,-11.63,99,81,3.87,broken clouds
236,Mattru,SL,7.6244,-11.8332,77.23,90,61,2.89,light rain
237,Guspini,IT,39.5406,8.6294,51.73,87,8,0.54,clear sky
238,Eyl,SO,7.9803,49.8164,75.61,74,7,9.98,clear sky
239,Hasaki,JP,35.7333,140.8333,46.8,59,93,8.01,overcast clouds
240,Kristiinankaupunki,FI,62.2743,21.376,36.0,80,9,8.86,clear sky
241,Torbay,CA,47.6666,-52.7314,38.75,87,20,8.05,few clouds
242,Cerrito,CO,6.8432,-72.694,58.39,80,69,1.5,broken clouds
243,Pundaguitan,PH,6.3711,126.1689,81.99,75,75,1.54,broken clouds
244,Upernavik,GL,72.7868,-56.1549,5.85,79,96,8.59,overcast clouds
245,Lagoa,PT,39.05,-27.9833,64.67,75,98,23.87,overcast clouds
246,Lieksa,FI,63.3167,30.0167,31.33,79,98,12.15,overcast clouds
247,Ilulissat,GL,69.2167,-51.1,20.19,94,100,13.67,light snow
248,Port Blair,IN,11.6667,92.75,81.46,84,92,10.8,overcast clouds
249,Kudahuvadhoo,MV,2.6708,72.8944,81.09,77,95,17.43,overcast clouds
250,Gravdal,NO,68.1214,13.5031,34.79,64,96,28.99,light snow
251,Russell,US,32.3502,-85.1999,65.48,45,1,5.75,clear sky
252,Richards Bay,ZA,-28.783,32.0377,66.43,72,100,3.58,overcast clouds
253,Veraval,IN,20.9,70.3667,80.22,63,72,12.53,broken clouds
254,Salinopolis,BR,-0.6136,-47.3561,80.08,85,43,12.77,scattered clouds
255,Alyangula,AU,-13.8483,136.4192,73.27,94,74,3.44,broken clouds
256,Beira,MZ,-19.8436,34.8389,82.49,78,75,14.0,broken clouds
257,Antofagasta,CL,-23.65,-70.4,63.68,68,72,7.45,broken clouds
258,Tilichiki,RU,60.4667,166.1,3.15,95,86,10.29,overcast clouds
259,Killybegs,IE,54.6333,-8.45,46.45,62,21,20.36,few clouds
260,Aberdeen,GB,57.1437,-2.0981,45.21,85,75,14.97,broken clouds
261,Trinidad,BO,-14.8333,-64.9,87.78,58,40,0.0,scattered clouds
262,Osmena,PH,10.5208,119.9258,81.81,81,25,9.78,scattered clouds
263,Tessalit,ML,20.1986,1.0114,74.61,25,69,9.46,broken clouds
264,Elko,US,41.0002,-115.5012,48.63,39,10,1.01,clear sky
265,Viesca,MX,25.35,-102.8,79.36,22,1,6.73,clear sky
266,Savinka,RU,50.0785,47.0994,42.4,86,100,21.41,overcast clouds
267,Surt,LY,31.2089,16.5887,66.07,73,24,6.51,few clouds
268,Menomonie,US,44.8755,-91.9193,45.52,42,100,8.05,overcast clouds
269,Shelburne,CA,44.0787,-80.2041,39.09,80,100,13.06,overcast clouds
270,Tual,ID,-5.6667,132.75,84.38,73,93,6.69,overcast clouds
271,Nyimba,ZM,-14.5566,30.8149,76.8,59,98,5.91,overcast clouds
272,Beroroha,MG,-21.6667,45.1667,79.88,58,75,3.13,broken clouds
273,Alvorada,BR,-12.48,-49.1247,78.58,77,90,0.92,overcast clouds
274,Pangai,TO,-19.8,-174.35,84.31,74,20,4.61,few clouds
275,Sitka,US,57.0531,-135.33,35.49,69,90,27.63,light snow
276,Languyan,PH,5.2618,120.0807,79.2,84,56,1.48,broken clouds
277,Bilma,NE,18.6853,12.9164,78.31,22,34,5.32,scattered clouds
278,Ancud,CL,-41.8697,-73.8203,63.93,81,97,10.13,overcast clouds
279,Myitkyina,MM,25.3833,97.4,61.02,79,6,2.3,clear sky
280,Port-Gentil,GA,-0.7193,8.7815,78.76,94,40,5.75,light rain
281,Tigil,RU,57.8,158.6667,25.09,71,100,17.56,overcast clouds
