City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Lompoc,US,78.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
507,Lazaro Cardenas,MX,83.62,clear sky,17.9583,-102.2,quinta antigua
511,San Miguelito,PA,81.43,scattered clouds,9.0333,-79.5,Conferencista Jose Pepe Quijada
515,Cabo Rojo,PR,83.97,scattered clouds,18.0866,-67.1457,Hotel Perichi's
530,Winneba,GH,82.87,few clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
538,Biak,ID,76.68,broken clouds,-0.9131,122.8766,Penginapan Kim
539,San Felipe,VE,76.71,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
541,Dosso,NE,80.87,clear sky,13.049,3.1937,Hotel Toubal
542,Itarema,BR,81.21,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
549,Labuhan,ID,78.28,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
552,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
556,La Macarena,CO,84.33,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
557,Road Town,VG,80.64,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
560,Pontianak,ID,75.18,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
565,Bundaberg,AU,81.21,scattered clouds,-24.85,152.35,Takalvan Motel
568,Dwarka,IN,78.48,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
576,Jega,NG,81.16,clear sky,12.2175,4.3792,ALH. Nasiru Ibrahim
577,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
583,Ariquemes,BR,77.67,scattered clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
587,Nayudupeta,IN,76.42,broken clouds,13.9,79.9,Hotel Manju
593,San Policarpo,PH,80.71,broken clouds,12.1791,125.5072,Agapita M. Nicart
600,Pouembout,NC,79.25,scattered clouds,-21.1333,164.9,Camping de Tipenga
613,Eldorado,BR,75.31,broken clouds,-23.7869,-54.2836,Villa Verde Hotel
625,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
627,Finschhafen,PG,83.71,broken clouds,-6.6024,147.8681,Cossam Guest House
632,Dickinson,US,77.22,overcast clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
635,Namatanai,PG,79.32,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
648,Birnin Kebbi,NG,81.5,clear sky,12.4539,4.1975,Saffar Guest Inn Ltd
652,Ko Samui,TH,82.18,broken clouds,9.5357,99.9357,The Passage
653,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
654,Una,IN,80.85,broken clouds,20.8167,71.0333,Hotel Harbhole
660,Sabang,ID,80.76,overcast clouds,5.8933,95.3214,Hotel Citra
664,Mamanguape,BR,80.92,overcast clouds,-6.8386,-35.1261,Cadeia Pública de Mamanguape
667,Bosaso,SO,76.15,scattered clouds,11.2842,49.1816,Red Sea Hotel
669,Brenham,US,78.22,overcast clouds,30.1669,-96.3977,Hampton Inn & Suites Brenham
672,Kavaratti,IN,80.65,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
675,Makakilo City,US,83.61,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
676,Kulhudhuffushi,MV,81.05,scattered clouds,6.6221,73.07,Haajy Guest House 1
680,Wanning,CN,75.56,broken clouds,18.8003,110.3967,Paradise Hotel
682,Palauig,PH,80.35,overcast clouds,15.435,119.9045,Alperi Botique Resort
694,Popondetta,PG,82.56,overcast clouds,-8.7537,148.2534,Timos Transit House
697,Alpoyeca,MX,82.94,clear sky,17.6667,-98.5167,"Puente VEHICULAR ALPOYECA-SAN JOSE BUENA VISTA GUERRERO, MÉXICO."
698,Aracatuba,BR,80.04,overcast clouds,-21.2089,-50.4328,Hotel Nacional Inn Araçatuba
702,French Harbor,HN,80.01,broken clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
703,Bubaque,GW,83.98,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
